id,name,country,coverage,platform_type,procurement_intelligence_score,procurement_intelligence_band,procurement_model,supplier_actions,foreign_eligibility_state,electronic_submission,browser_check_state,evidence_level,best_for
au-act-tenders-act,Tenders ACT,australia,regional,regional-procurement,71,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,OBSERVABLE,local-sme; b2b-saas; industrial-supplier
au-wa-tenders-wa,Tenders WA,australia,regional,regional-procurement,79,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
au-vendorpanel-marketplace,VendorPanel Marketplace,australia,national,b2b-tender-marketplace,81,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
au-nsw-buy-nsw,buy.nsw,australia,regional,regional-procurement,63,GOOD,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,local-sme; industrial-supplier; logistics
au-qld-etender,eTender (QBuild),australia,regional,sector-procurement,79,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
at-anko-vergabeportal,ANKÖ Vergabeportal (vergabeportal.at),austria,national,national-procurement,43,MODERATE,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,industrial-supplier; local-sme
at-usp-ausschreibungssuche,USP Ausschreibungssuche (eProcurement Bekanntmachungsservice),austria,national,national-procurement,65,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
bh-bahrain-tender-board-e-tendering,Bahrain Tender Board e-Tendering System,bahrain,national,national-procurement,86,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
bd-bangladesh-e-government-procurement,Bangladesh e-Government Procurement (e-GP) System,bangladesh,national,national-procurement,86,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
be-e-procurement,"e-Procurement (publicprocurement.be, BOSA)",belgium,national,national-procurement,44,MODERATE,unknown,DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,construction; local-sme
bo-mercado-virtual-estatal,Mercado Virtual Estatal,bolivia,national,national-procurement,40,MODERATE,authorized-marketplace-or-tenant,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,local-sme
bo-sicoes,SICOES – Sistema de Contrataciones Estatales,bolivia,national,national-procurement,50,GOOD,registration-system,REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier
ba-portal-javnih-nabavki-nabava,Portal javnih nabavki/nabava Bosne i Hercegovine (e-Nabavke),bosnia-and-herzegovina,national,national-procurement,81,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
bw-integrated-procurement-management-system,Integrated Procurement Management System (IPMS),botswana,national,national-procurement,69,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,local-sme; industrial-supplier; manufacturer
br-bec,BEC/SP — Bolsa Eletrônica de Compras do Estado de São Paulo,brazil,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,OBSERVABLE,
br-bll-compras,BLL Compras — Bolsa de Licitações do Brasil,brazil,national,b2b-tender-marketplace,43,MODERATE,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,OBSERVABLE,industrial-supplier; local-sme
br-bnc,BNC — Bolsa Nacional de Compras,brazil,national,b2b-tender-marketplace,89,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; healthcare
br-compras-eletronicas-rs,Compras Eletrônicas RS,brazil,regional,regional-procurement,79,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; manufacturer
br-compras-gov-br,Compras.gov.br,brazil,national,national-procurement,86,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
br-gms,GMS — Gestão de Materiais e Serviços (Compras Paraná),brazil,regional,regional-procurement,37,MODERATE,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,VERIFIED,industrial-supplier; local-sme
br-licitanet,Licitanet,brazil,national,b2b-tender-marketplace,62,GOOD,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,industrial-supplier; local-sme; manufacturer
br-licitacoes-e,Licitações-e,brazil,national,b2b-tender-marketplace,,NOT_YET_SCORED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,UNKNOWN,
br-marketplace-sp,Marketplace.SP,brazil,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,BOT_PROTECTION,OBSERVABLE,
br-pncp,PNCP — Portal Nacional de Contratações Públicas,brazil,national,national-procurement,65,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,local-sme; manufacturer; industrial-supplier
br-petronect,Petronect,brazil,institutional,sector-procurement,30,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,OBSERVABLE,professional-services; healthcare
br-portal-de-compras-mg,Portal de Compras MG,brazil,regional,regional-procurement,,NOT_YET_SCORED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,UNKNOWN,
br-portal-de-compras-publicas,Portal de Compras Públicas,brazil,national,b2b-tender-marketplace,86,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
bg-cais-eop,ЦАИС ЕОП (CAIS EOP) – Централизирана автоматизирана информационна система 'Електронни обществени поръчки',bulgaria,national,national-procurement,44,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,b2b-saas; local-sme
ca-ab-alberta-purchasing-connection,Alberta Purchasing Connection (APC),canada,regional,regional-procurement,62,GOOD,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,local-sme; industrial-supplier; professional-services
ca-bc-bc-bid,BC Bid,canada,regional,regional-procurement,37,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,VERIFIED,local-sme
ca-biddingo,Biddingo,canada,national,commercial-aggregator,50,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,industrial-supplier; local-sme
ca-canadabuys,CanadaBuys / AchatsCanada,canada,national,national-procurement,86,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,local-sme; b2b-saas; industrial-supplier
ca-nt-gnwt-contract-event-opportunities,GNWT Contract Event Opportunities,canada,regional,regional-procurement,34,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,COOKIE_GATE,VERIFIED,
ca-merx,MERX,canada,national,b2b-tender-marketplace,72,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,industrial-supplier; local-sme; professional-services
ca-nb-new-brunswick-opportunities-network,New Brunswick Opportunities Network (NBON) / Réseau de possibilités d'affaires du Nouveau-Brunswick,canada,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,BOT_PROTECTION,VERIFIED,
ca-ns-nova-scotia-procurement-portal,Nova Scotia Procurement Portal,canada,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,VERIFIED,
ca-nu-nunavut-tenders,Nunavut Tenders (Government of Nunavut Request for Tenders/Proposals),canada,regional,regional-procurement,60,GOOD,registration-system,REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier
ca-on-ontario-tenders-portal,Ontario Tenders Portal / Portail des appels d'offres de l'Ontario,canada,regional,regional-procurement,26,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,VERIFIED,
ca-pe-pei-tenders-and-procurement,PEI Tenders and Procurement Opportunities,canada,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,VERIFIED,
ca-qc-seao,SEAO — Système électronique d'appel d'offres du gouvernement du Québec,canada,regional,regional-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,
ca-sk-sasktenders,SaskTenders,canada,regional,regional-procurement,66,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; professional-services
ca-yt-yukon-bids-tenders,Yukon bids&tenders,canada,regional,regional-procurement,33,LIMITED,unknown,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,local-sme
ca-bids-tenders,bids&tenders,canada,national,commercial-aggregator,70,STRONG,full-electronic-procurement,SEARCH; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,VERIFIED,professional-services; engineering; healthcare
cl-mercado-publico,Mercado Público,chile,national,national-procurement,82,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,local-sme; b2b-saas; industrial-supplier
cn-people-s-bank-of-china-p,中国人民银行采购网 (People's Bank of China Procurement Network),china,institutional,institutional-procurement,51,GOOD,discovery-only,SEARCH,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,healthcare; manufacturer; industrial-supplier
cn-china-international-bidd,中国国际招标网 (China International Bidding Network),china,national,sector-procurement,70,STRONG,discovery-only,SEARCH,VERIFIED_ACCEPTED,no,NOT_REQUIRED,VERIFIED,manufacturer; exporter; local-sme
cn-china-government-procure,中国政府采购网 (China Government Procurement Network),china,national,national-procurement,61,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,WAF,VERIFIED,local-sme; manufacturer; industrial-supplier
cn-central-government-procu,中央政府采购网 (Central Government Procurement Network),china,national,national-procurement,24,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,TRANSPORT_FAILURE,VERIFIED,
cn-national-public-resource,全国公共资源交易平台 (National Public Resource Trading Platform),china,national,national-procurement,61,GOOD,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; industrial-supplier
cn-military-procurement-net,军队采购网 (Military Procurement Network),china,national,sector-procurement,55,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,OBSERVABLE,local-sme; manufacturer; industrial-supplier
cn-beijing-public-resource,北京市公共资源交易服务平台 (Beijing Public Resource Trading Service Platform),china,regional,regional-procurement,52,GOOD,discovery-only,SEARCH,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; industrial-supplier
cn-guangdong-provincial-pub,广东省公共资源交易平台 (Guangdong Provincial Public Resource Trading Platform),china,regional,regional-procurement,18,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,
cn-zhengcaiyun,政采云 (Zhengcaiyun),china,national,national-procurement,37,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,VERIFIED,b2b-saas
co-mi-mercado-popular,Mi Mercado Popular,colombia,national,national-procurement,54,GOOD,authorized-marketplace-or-tenant,REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,VERIFIED,local-sme
co-portal-de-proveedores-ecopetrol,Portal de Proveedores Ecopetrol,colombia,institutional,sector-procurement,22,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,professional-services; healthcare
co-secop-i,SECOP I,colombia,national,national-procurement,42,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,WAF,VERIFIED,local-sme
co-secop-ii,SECOP II,colombia,national,national-procurement,89,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,VERIFIED,local-sme; b2b-saas; industrial-supplier
co-tienda-virtual-del-estado,Tienda Virtual del Estado Colombiano,colombia,national,national-procurement,52,GOOD,unknown,MONITOR_ONLY,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,b2b-saas; local-sme
cr-sicop,SICOP,costa-rica,national,national-procurement,53,GOOD,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,b2b-saas; manufacturer; exporter
hr-eojn-rh,EOJN RH – Elektronički oglasnik javne nabave Republike Hrvatske,croatia,national,national-procurement,71,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,b2b-saas; logistics; local-sme
hr-oglasnik-javne-nabave,"Oglasnik javne nabave (legacy EOJN, eojn.nn.hr)",croatia,national,national-procurement,33,LIMITED,authorized-marketplace-or-tenant,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,OBSERVABLE,local-sme
cy-eprocurement-system-of,eProcurement System of the Republic of Cyprus (e-PPS),cyprus,national,national-procurement,93,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; eu-company
cz-nen,NEN — Národní elektronický nástroj,czech-republic,national,national-procurement,73,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; b2b-saas; industrial-supplier
dk-udbud,Udbud.dk,denmark,national,national-procurement,,NOT_YET_SCORED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,UNKNOWN,
do-portal-transaccional,Portal Transaccional,dominican-republic,national,national-procurement,94,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,TRANSPORT_FAILURE,VERIFIED,local-sme; foreign-supplier; b2b-saas
ec-soce,SOCE – Sistema Oficial de Contratación Pública del Ecuador,ecuador,national,national-procurement,77,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; b2b-saas; industrial-supplier
eg-gcs,منظومة التعاقدات الحكومية (GCS),egypt,national,national-procurement,29,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,TRANSPORT_FAILURE,VERIFIED,
sv-comprasal,COMPRASAL,el-salvador,national,national-procurement,63,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,b2b-saas; logistics; local-sme
ee-riigihangete-register,Riigihangete register (RHR — Estonian Public Procurement Register),estonia,national,national-procurement,43,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,local-sme
et-electronic-government-procurement,Electronic Government Procurement (e-GP),ethiopia,national,national-procurement,47,MODERATE,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,b2b-saas; industrial-supplier; local-sme
eu-ebrd-corporate-procurement,EBRD Corporate Procurement portal (SMART by GEP - EBRD instance),european-union,institutional,institutional-procurement,47,MODERATE,corporate-procurement-surface,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,professional-services; industrial-supplier; eu-company
eu-ecb-electronic-tendering,ECB Electronic Tendering System (SAP Ariba Sourcing),european-union,institutional,institutional-procurement,90,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,eu-company; healthcare; professional-services
eu-ecepp,ECEPP - EBRD Client e-Procurement Portal,european-union,supranational,development-bank,100,EXCEPTIONAL,project-financed-surface,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,eu-company; exporter; foreign-supplier
eu-eib-group-procurement,EIB Group Procurement portal (eib.org — Corporate & Technical Assistance procurement),european-union,institutional,development-bank,63,GOOD,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,no,COOKIE_GATE,VERIFIED,manufacturer; eu-company; healthcare
eu-eu-funding,EU Funding & Tenders Portal (SEDIA) — Calls for Tenders,european-union,supranational,eu-procurement,84,EXCEPTIONAL,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,industrial-supplier; manufacturer; exporter
eu-ted,TED — Tenders Electronic Daily,european-union,supranational,eu-procurement,67,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,eu-company; healthcare; manufacturer
fi-cloudia-tarjouspalvelu,Cloudia Tarjouspalvelu (tarjouspalvelu.fi supplier portal),finland,national,national-procurement,48,MODERATE,unknown,MONITOR_ONLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme
fi-hilma,Hilma (hankintailmoitukset.fi),finland,national,national-procurement,43,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,local-sme
fr-afd-dgmarket,AFD.dgMarket — procurement notices for AFD-financed projects,france,institutional,development-bank,77,STRONG,project-financed-surface,SEARCH; REGISTER,VERIFIED_ACCEPTED,no,NOT_REQUIRED,VERIFIED,professional-services; industrial-supplier; manufacturer
fr-approch,APProch — portail des projets d'achats publics,france,national,national-procurement,33,LIMITED,authorized-marketplace-or-tenant,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,OBSERVABLE,local-sme
fr-boamp,BOAMP — Bulletin officiel des annonces de marchés publics,france,national,national-procurement,65,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,local-sme; eu-company
fr-place,PLACE — Plateforme des achats de l'État / Portail des marchés publics,france,national,national-procurement,77,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; industrial-supplier; eu-company
ge-spa-eprocurement,Georgian eProcurement (SPA),georgia,national,national-procurement,20,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,UNSPECIFIED,OBSERVABLE,
de-bekanntmachungsservice,Bekanntmachungsservice (Datenservice Öffentlicher Einkauf),germany,national,national-procurement,61,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,VERIFIED,local-sme; eu-company; manufacturer
de-e-vergabe-plattform-des-freistaats,E-Vergabe-Plattform des Freistaats Thüringen (Zentrale Landesvergabeplattform),germany,regional,regional-procurement,43,MODERATE,unknown,MONITOR_ONLY,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,local-sme
de-giz-vergabemarktplatz,GIZ Vergabemarktplatz (GIZ e-procurement tender platform),germany,institutional,institutional-procurement,78,STRONG,corporate-procurement-surface,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,industrial-supplier; healthcare; eu-company
de-had,HAD — Hessische Ausschreibungsdatenbank (had.de),germany,regional,regional-procurement,60,GOOD,discovery-only,SEARCH,NOT_VERIFIED,unknown,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-kfw-vergabeportal,KfW Vergabeportal (eVergabe Bieterportal der KfW Bankengruppe),germany,institutional,institutional-procurement,64,GOOD,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,healthcare; eu-company; manufacturer
de-vergabemarktplatz-baden-wurttemberg,Vergabemarktplatz Baden-Württemberg (ausschreibungen.landbw.de),germany,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; eu-company
de-vergabemarktplatz-brandenburg,Vergabemarktplatz Brandenburg,germany,regional,regional-procurement,75,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
de-vergabemarktplatz-land-nrw,Vergabemarktplatz Land NRW (evergabe.nrw.de),germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
