research_rank,forum,url,status,domain_rating,country,primary_language,primary_topic,topics,forum_type,last_verified_at
22,Freelancing Stack Exchange,https://freelancing.stackexchange.com/,ACTIVE,91,,en,MARKETING_SEO_GROWTH,MARKETING_SEO_GROWTH; TECHNOLOGY_SOFTWARE; BUSINESS_ENTREPRENEURSHIP,Q_AND_A,2026-08-27
23,Hugging Face Forums - Hugging Face Community Discussion,https://discuss.huggingface.co/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
24,HUGO,https://discourse.gohugo.io/,ACTIVE,91,,zh,CONSTRUCTION,CONSTRUCTION,OTHER,2026-08-26
25,JetBrains Platform,https://platform.jetbrains.com/,ACTIVE,91,,en,MARKETING_SEO_GROWTH,MARKETING_SEO_GROWTH; ECOMMERCE_MARKETPLACES,OTHER,2026-08-26
26,Let's Encrypt Community Support,https://community.letsencrypt.org/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
27,NVIDIA Developer Forums - NVIDIA Developer Forums,https://forums.developer.nvidia.com/,ACTIVE,91,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; EDUCATION_STUDENTS,OTHER,2026-08-26
28,OSI Discuss - OSI Discuss,https://discuss.opensource.org/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
29,Perplexity API Platform Forum,https://community.perplexity.ai/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
30,Ubuntu Community Hub,https://discourse.ubuntu.com/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
31,"Virtualmin Community - Community for the discussion of Webmin, Virtualmin, Usermin, and Cloudmin.",https://forum.virtualmin.com/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; WEB_HOSTING_DOMAINS; CAREERS_HR_RECRUITMENT; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
32,wikiHow,https://forums.wikihow.com/,ACTIVE,91,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
33,AMD Developer Community - together we advance_,https://devcommunity.amd.com/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; AI_DATA; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS,HOBBY_COMMUNITY,2026-08-26
34,Auth0 Community,https://community.auth0.com/,ACTIVE,90,,en,ECOMMERCE_MARKETPLACES,ECOMMERCE_MARKETPLACES; PROGRAMMING_DEVELOPMENT; ENGINEERING; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
35,Cursor - Community Forum - The official forum to discuss Cursor.,https://forum.cursor.com/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
36,Discuss Kubernetes,https://discuss.kubernetes.io/,ACTIVE,90,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
37,"Discuss the Elastic Stack - Official ELK / Elastic Stack, Elasticsearch, Logstash, Kibana, Beats and more forums",https://discuss.elastic.co/,ACTIVE,90,,ja,CYBERSECURITY_IT,CYBERSECURITY_IT,OTHER,2026-08-26
38,Fedora Discussion - Fedora Linux and Fedora Project community conversation.,https://discussion.fedoraproject.org/,ACTIVE,90,,en,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY; CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
39,HashiCorp Discuss,https://discuss.hashicorp.com/,ACTIVE,90,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
40,Jekyll Talk,https://talk.jekyllrb.com/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
41,Kinsta Community - Kinsta Community,https://community.kinsta.com/,ACTIVE,90,,en,WEB_HOSTING_DOMAINS,WEB_HOSTING_DOMAINS; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
42,Last.fm Support Community - Find answers to your questions and get help with common problems with the Last.fm website and scrobbling apps.,https://support.last.fm/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,VENDOR_SUPPORT,2026-08-26
43,Make Community,https://community.make.com/,ACTIVE,90,,en,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
44,"MongoDB Community Hub - A place to discover, learn, and grow with MongoDB technologies",https://mongodb.com/community/forums,ACTIVE,90,,en,EDUCATION_STUDENTS,EDUCATION_STUDENTS,EDUCATION_COMMUNITY,2026-08-26
45,"n8n Community - Connect, Learn, and Share Automation Insights - n8n",https://community.n8n.io/,ACTIVE,90,,en,CYBERSECURITY_IT,CYBERSECURITY_IT,OTHER,2026-08-26
46,Okta Developer Community,https://devforum.okta.com/,ACTIVE,90,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; ARCHITECTURE_DESIGN; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
47,Rust Internals,https://internals.rust-lang.org/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
48,The Rust Programming Language Forum,https://users.rust-lang.org/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
49,Tor Project Forum - Defend yourself against tracking and surveillance. Circumvent censorship.,https://forum.torproject.org/,ACTIVE,90,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
50,AWeber Community,https://community.aweber.com/,ACTIVE,89,,en,BUSINESS_ENTREPRENEURSHIP,BUSINESS_ENTREPRENEURSHIP; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
51,Django Forum,https://forum.djangoproject.com/,ACTIVE,89,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
52,Grafana Labs Community Forums,https://community.grafana.com/,ACTIVE,89,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
53,MetaMask - Community Platform,https://community.metamask.io/,ACTIVE,89,,en,CRYPTO_WEB3,CRYPTO_WEB3; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
54,"MetaMask Builder Hub - Connect, learn, and innovate together with the MetaMask builder community",https://builder.metamask.io/,ACTIVE,89,,en,CONSTRUCTION,CONSTRUCTION,OTHER,2026-08-26
55,"Motley Fool Community - Fools helping Fools become smarter, happier and richer.",https://discussion.fool.com/,ACTIVE,89,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; FINANCE_INVESTING_BANKING; CRYPTO_WEB3; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS,INDUSTRY_COMMUNITY,2026-08-26
56,The freeCodeCamp Forum - Join the developer community and learn to code for free.,https://forum.freecodecamp.org/,ACTIVE,89,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
57,"The YouCanBookMe Community Forum - The YouCanBookMe Community Forum - Ask Questions, Help Other",https://forum.youcanbook.me/,ACTIVE,89,,en,BUSINESS_ENTREPRENEURSHIP,BUSINESS_ENTREPRENEURSHIP,OTHER,2026-08-26
58,"ABB Robotics Community - ABB Robotics Community – Global Forum for Support, Knowledge & Collaboration",https://tech-community.robotics.abb.com/,ACTIVE,88,global,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
59,Arduino Forum,https://forum.arduino.cc/,ACTIVE,88,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS,OTHER,2026-08-26
60,Crossref community forum - You are Crossref,https://community.crossref.org/,ACTIVE,88,global,en,ENGINEERING,ENGINEERING,OTHER,2026-08-26
61,Gitea - Git with a cup of tea,https://forum.gitea.com/,ACTIVE,88,,zh,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; WEB_HOSTING_DOMAINS; TECHNOLOGY_SOFTWARE; CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
62,"Prismic People - Here you can search for common questions, comment in ongoing conversations, and pose questions of your own to find out everything you could want to know about usin",https://community.prismic.io/,ACTIVE,88,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; LEGAL,OTHER,2026-08-26
63,Epic Developer Community Forums,https://forums.unrealengine.com/,ACTIVE,87,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT,OTHER,2026-08-26
64,Fastly Community,https://community.fastly.com/,ACTIVE,87,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT; EDUCATION_STUDENTS,OTHER,2026-08-26
65,iNaturalist Community Forum - iNaturalist is a global community of people who are interested in sharing and discussing their observations of wild organisms.,https://forum.inaturalist.org/,ACTIVE,87,global,en,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
66,LangChain Forum,https://forum.langchain.com/,ACTIVE,87,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
67,RIPE NCC Forum,https://forum.ripe.net/,ACTIVE,87,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
68,Ruby on Rails Discussions - Ruby on Rails Discussions,https://discuss.rubyonrails.org/,ACTIVE,87,,,CYBERSECURITY_IT,CYBERSECURITY_IT,OTHER,2026-08-26
69,Spiceworks Community - Connecting technology professionals since 2008,https://community.spiceworks.com/,ACTIVE,87,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; TELECOM_VOIP; TECHNOLOGY_SOFTWARE; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
70,Audacity Forum,https://forum.audacityteam.org/,ACTIVE,86,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS; CREATIVE_DESIGN; MUSIC_ENTERTAINMENT_CULTURE,OTHER,2026-08-26
71,Bubble Forum,https://forum.bubble.io/,ACTIVE,86,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT; CONSTRUCTION,OTHER,2026-08-26
72,Gravity Forms,https://community.gravityforms.com/,ACTIVE,86,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
73,"Jenkins - The leading open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project.",https://community.jenkins.io/,ACTIVE,86,,zh,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
74,Jupiter Research,https://discuss.jup.ag/,ACTIVE,86,,en,CRYPTO_WEB3,CRYPTO_WEB3,OTHER,2026-08-26
75,Kotlin Discussions,https://discuss.kotlinlang.org/,ACTIVE,86,,,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT,OTHER,2026-08-26
76,LLVM Discussion Forums - Our community includes both users and developers of various compiler technologies within the LLVM project.,https://discourse.llvm.org/,ACTIVE,86,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
77,Nextcloud community - Keep your data safe!,https://help.nextcloud.com/,ACTIVE,86,,zh,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
78,PyTorch Developer Mailing List,https://dev-discuss.pytorch.org/,ACTIVE,86,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
79,Shopware Community Forum,https://forum.shopware.com/,ACTIVE,86,,de,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; MARKETING_SEO_GROWTH; ECOMMERCE_MARKETPLACES; TECHNOLOGY_SOFTWARE; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
80,Solana Developer Forums - Welcome to the Solana Developer Forums,https://forum.solana.com/,ACTIVE,86,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT,OTHER,2026-08-26
81,Ansible - The Ansible Community forum,https://forum.ansible.com/,ACTIVE,85,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
82,Bitwarden Community Forums - Bitwarden | Password Manager - Secrets Manager - Passwordless.dev - Authenticator,https://community.bitwarden.com/,ACTIVE,85,,en,CONSUMER_DEALS_REVIEWS,CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
83,CodeAI Professional Learning Community,https://forum.code.org/,ACTIVE,85,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS,PROFESSIONAL_COMMUNITY,2026-08-26
84,Forum Italia,https://forum.italia.it/,ACTIVE,85,,it,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
85,Frame.io Developer Forum,https://forum.frame.io/,ACTIVE,85,,,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; PHOTOGRAPHY_VIDEO,OTHER,2026-08-26
86,Jupyter Community Forum - A place for Jovyans to share and learn from each other,https://discourse.jupyter.org/,ACTIVE,85,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; EDUCATION_STUDENTS,OTHER,2026-08-26
87,openSUSE Forums - The meeting place of all the geekos from around the openSUSE Project,https://forums.opensuse.org/,ACTIVE,85,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE; PARENTING_FAMILY; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
88,"Plotly Community Forum - Community Forum for AI data analytics, Python Data Visualization, Data Apps, and Dashboards | Plotly",https://community.plotly.com/,ACTIVE,85,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT,OTHER,2026-08-26
89,SitePoint Forums | Web Development & Design Community,https://sitepoint.com/community,ACTIVE,85,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; MARKETING_SEO_GROWTH; ECOMMERCE_MARKETPLACES; PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT,OTHER,2026-08-27
90,SketchUp Community,https://forums.sketchup.com/,ACTIVE,85,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
91,three.js forum,https://discourse.threejs.org/,ACTIVE,85,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
92,AlmaLinux - AlmaLinux Discussion Community,https://forums.almalinux.org/,ACTIVE,84,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; CYBERSECURITY_IT,OTHER,2026-08-26
93,Brave Community,https://community.brave.app/,ACTIVE,84,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
94,DigiKey TechForum - An Electronic Component and Engineering Solution Forum,https://forum.digikey.com/,ACTIVE,84,,en,BUSINESS_ENTREPRENEURSHIP,BUSINESS_ENTREPRENEURSHIP; ENGINEERING,HOBBY_COMMUNITY,2026-08-26
95,Gradle Forums,https://discuss.gradle.org/,ACTIVE,84,,,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; ENGINEERING; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
96,Haskell Community - Haskell,https://discourse.haskell.org/,ACTIVE,84,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
97,NLR Forum - The National Laboratory of the Rockies (NLR),https://forums.nlr.gov/,ACTIVE,84,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE; ENGINEERING; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
98,"Sonar Community - Build better software, faster",https://community.sonarsource.com/,ACTIVE,84,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE; ARCHITECTURE_DESIGN,OTHER,2026-08-26
99,SUSE,https://forums.suse.com/,ACTIVE,84,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
100,Swift Forums,https://forums.swift.org/,ACTIVE,84,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
101,"Toggl Community - A place for Toggl users to discuss their use of Toggl apps, share advice, and get help.",https://community.toggl.com/,ACTIVE,84,,en,BUSINESS_ENTREPRENEURSHIP,BUSINESS_ENTREPRENEURSHIP,OTHER,2026-08-26
102,Transifex - Transifex Community Forum where users can interact and ask questions.,https://community.transifex.com/,ACTIVE,84,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,Q_AND_A,2026-08-26
103,Discourse Meta - The Official Support Forum for Discourse,https://meta.discourse.org/,ACTIVE,83,,en,WEB_HOSTING_DOMAINS,WEB_HOSTING_DOMAINS; TECHNOLOGY_SOFTWARE; BUSINESS_ENTREPRENEURSHIP; NEWS_POLITICS_SOCIETY,VENDOR_SUPPORT,2026-08-26
104,Flathub Discourse,https://discourse.flathub.org/,ACTIVE,83,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
105,Fly.io,https://community.fly.io/,ACTIVE,83,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; WEB_HOSTING_DOMAINS,OTHER,2026-08-26
106,Godot Forum,https://forum.godotengine.org/,ACTIVE,83,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; SCIENCE,OTHER,2026-08-26
107,IPinfo Community,https://community.ipinfo.io/,ACTIVE,83,,en,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
108,Keap Integration Q&A,https://integration.keap.com/,ACTIVE,83,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,Q_AND_A,2026-08-26
109,Let's talk Lottie - Community for designers and developers around Lottie animations,https://forum.lottiefiles.com/,ACTIVE,83,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
110,"OpenCV - Ask OpenCV Questions, Get OpenCV Answers",https://forum.opencv.org/,ACTIVE,83,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; AI_DATA; TECHNOLOGY_SOFTWARE; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
111,Plex Forum,https://forums.plex.tv/,ACTIVE,83,,ar,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
112,SparkFun Community - Where Electronics Enthusiasts Find Answers,https://community.sparkfun.com/,ACTIVE,83,,en,CONSUMER_DEALS_REVIEWS,CONSUMER_DEALS_REVIEWS,HOBBY_COMMUNITY,2026-08-26
113,Support Forum - Finsweet Support Forum,https://forum.finsweet.com/,ACTIVE,83,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
114,Anki Forums,https://forums.ankiweb.net/,ACTIVE,82,,en,EDUCATION_STUDENTS,EDUCATION_STUDENTS,OTHER,2026-08-26
115,Apollo Community - Apollo GraphQL community,https://community.apollographql.com/,ACTIVE,82,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,2026-08-26
116,Builder.io Forum - Help and tips for Builder.io,https://forum.builder.io/,ACTIVE,82,,en,CONSTRUCTION,CONSTRUCTION,OTHER,2026-08-26
117,Casino.org Forum,https://forum.casino.org/,ACTIVE,82,,en,MUSIC_ENTERTAINMENT_CULTURE,MUSIC_ENTERTAINMENT_CULTURE; NEWS_POLITICS_SOCIETY; CONSUMER_DEALS_REVIEWS,OTHER,2026-08-26
118,Confluent Community,https://forum.confluent.io/,ACTIVE,82,,en,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; EDUCATION_STUDENTS; ARCHITECTURE_DESIGN; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
119,DeepLearning.AI,https://community.deeplearning.ai/,ACTIVE,82,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; AI_DATA; TECHNOLOGY_SOFTWARE; EDUCATION_STUDENTS,Q_AND_A,2026-08-26
120,FlightAware Discussions,https://discussions.flightaware.com/,ACTIVE,82,,en,TRANSPORT_LOGISTICS,TRANSPORT_LOGISTICS; NEWS_POLITICS_SOCIETY,OTHER,2026-08-26
121,GBIF community forum,https://discourse.gbif.org/,ACTIVE,82,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
122,Graphviz - Graph Visualization Software,https://forum.graphviz.org/,ACTIVE,82,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE,OTHER,2026-08-26
123,"Ionic Forum - Build cross-platform mobile apps with HTML, CSS, and JavaScript",https://forum.ionicframework.com/,ACTIVE,82,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; PROGRAMMING_DEVELOPMENT; CAREERS_HR_RECRUITMENT,OTHER,2026-08-26
124,NixOS Discourse - NixOS community forum,https://discourse.nixos.org/,ACTIVE,82,,en,MARKETING_SEO_GROWTH,MARKETING_SEO_GROWTH; CYBERSECURITY_IT; CAREERS_HR_RECRUITMENT; ARCHITECTURE_DESIGN,OTHER,2026-08-26
125,"Patient Communities - Our community of patients, carers, and health-conscious individuals is here to help.",https://community.patient.info/,ACTIVE,82,,en,HEALTH_MEDICINE,HEALTH_MEDICINE; TRAVEL_EXPAT_IMMIGRATION; PARENTING_FAMILY,OTHER,2026-08-26
126,"Percona Community Forum - Technical forum for help with Percona's open source software for MySQL®, PostgreSQL, Valkey/Redis, and MongoDB® databases.",https://forums.percona.com/,ACTIVE,82,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; BUSINESS_ENTREPRENEURSHIP,OTHER,2026-08-26
127,Rocky Linux Forum - The community hub for the Rocky Linux project.,https://forums.rockylinux.org/,ACTIVE,82,,en,ENGINEERING,ENGINEERING; GAMING_ESPORTS,HOBBY_COMMUNITY,2026-08-26
