platform,collection,country,audience,actionability_status,next_action,action_url,cost,execution_confidence,difficulty,publishing_time,evidence_action_url,blocker,missing,native_score,native_signal,source_collection_url
21food,Business Directories,China,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
24-7 Press Release,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,46,Media Score 46 (Limited),/research/media-pr-publishing/
24-7PressRelease,Business Directories,Global,global; north-america,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
28Hse,Marketplace & Classified Platforms,Hong Kong,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
2FindLocal,Business Directories,Global,global,READY,Create a business profile,https://www.2findlocal.com/Modules/Biz/bizPhoneLookup.php,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
2PM,"Media, PR & Publishing",United States,national,READY,Buy a sponsored placement,https://2pml.com/,paid,LOW,Unknown,Unknown,verified,,,45,Media Score 45 (Limited),/research/media-pr-publishing/
2dehands,Business Directories,Belgium,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
2dehands,Marketplace & Classified Platforms,Belgium,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
2merkato,Business Directories,Ethiopia,country-specific,READY,Create a business profile,https://www.2merkato.com/directory/add-listing,unknown,LOW,Unknown,Unknown,verified,,,78,"tier tier2, priority P2",/research/business-directories/opportunities/
36氪,"Media, PR & Publishing",China,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
3D Printing Industry,"Media, PR & Publishing",United Kingdom,global,NEEDS_RESEARCH,Check what action the platform supports,https://3dprintingindustry.com/contact-us/,mixed,INSUFFICIENT,Unknown,Unknown,verified,,a route matching the stated action,81,Media Score 81 (Strong),/research/media-pr-publishing/
3DPrint.com,"Media, PR & Publishing",United States,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
3byggetilbud,Business Directories,Denmark,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
411.ca,Business Directories,Canada,canada,READY,Create a business profile,https://solutions.yp.ca/free-online-listing,free,LOW,Unknown,Unknown,verified,,,78,"tier tier2, priority P2",/research/business-directories/opportunities/
500 Global,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
50Pros,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
58.com,Marketplace & Classified Platforms,China,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
58同城 58.com,Business Directories,China,china,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
591,Marketplace & Classified Platforms,Taiwan,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
5miles,Marketplace & Classified Platforms,United States,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,66,"accepts both sellers, freemium",/research/marketplaces/
8891,Marketplace & Classified Platforms,Taiwan,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
99.co,Marketplace & Classified Platforms,Singapore,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
999.md,Marketplace & Classified Platforms,Moldova,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
99acres,Marketplace & Classified Platforms,India,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,60,"accepts both sellers, paid",/research/marketplaces/
99designs,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
'@Press,"Media, PR & Publishing",Japan,national,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,46,Media Score 46 (Limited),/research/media-pr-publishing/
A Dónde Vivir,Marketplace & Classified Platforms,Peru,,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,60,"accepts both sellers, paid",/research/marketplaces/
A Place for Mom,Business Directories,United States,north-america,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
AACC,Business Directories,France,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
AAFP Family Physician Finder,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
AAHA Accredited Practice Locator,Business Directories,United States,north-america,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ABIH,Business Directories,Brazil,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
ABIMAQ,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ABINEE,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ABRASEL,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ABTA,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
ACA Find a Doctor,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
ACCA Contractor Locator,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ACCA Find an Accountant,Business Directories,United Kingdom,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
ACCESS Newswire,Business Directories,Global,global; north-america,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ACCESS Newswire,"Media, PR & Publishing",United States,global,READY,Distribute a press release,https://www.accessnewswire.com/submit-a-press-release,paid,LOW,Unknown,Unknown,verified,,,55,Media Score 55 (Moderate),/research/media-pr-publishing/
AI News,"Media, PR & Publishing",United Kingdom,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
AI Tool Mall,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AIA Find an Architect,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
AICyclopedia,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AIM,"Media, PR & Publishing",India,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
AIN,"Media, PR & Publishing",Ukraine,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
AINOW,"Media, PR & Publishing",Japan,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
AITO,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AMITI,Business Directories,Mexico,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AMSP ČR,Business Directories,Czech Republic,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AMVO,Business Directories,Mexico,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ANCE,Business Directories,Italy,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ANP Pers Support,"Media, PR & Publishing",Netherlands,national,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,46,Media Score 46 (Limited),/research/media-pr-publishing/
AOA Doctor Locator,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
APINDO,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
APTA Find a PT,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ASHA ProFind,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ASHI,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ASID,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ASLA,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
ASME Singapore,Business Directories,Singapore,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
ASSEMBLY Magazine,"Media, PR & Publishing",United States,national,READY,Submit company news,https://www.assemblymag.com/contactus,free,MEDIUM,Unknown,Unknown,verified,,,87,Media Score 87 (Strong),/research/media-pr-publishing/
ASSOCHAM,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
AUTO.RIA,Marketplace & Classified Platforms,Ukraine,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
AWS Partner Solutions Finder,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Aajjo,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
AbeBooks,Marketplace & Classified Platforms,United States,,READY,Create a seller account,https://www.abebooks.com/books/sell/,paid,LOW,Unknown,Unknown,verified,,,83,"accepts business sellers, paid",/research/marketplaces/
Abeceda firem,Business Directories,Czech Republic,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Above the Law,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Abstartups,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Accounting Today,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,81,Media Score 81 (Strong),/research/media-pr-publishing/
AdForum,Business Directories,Global,global,READY,Create a business profile,https://www.adforum.com/agency,unknown,LOW,Unknown,Unknown,verified,,,74,"tier tier2, priority P3",/research/business-directories/opportunities/
Add-ons for Firefox,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,78,"tier tier1, priority P3",/research/business-directories/opportunities/
AddisBiz,Business Directories,Ethiopia,country-specific,READY,Create a business profile,https://addisbiz.com/business-directory/register-your-business,paid,LOW,Unknown,Unknown,verified,,,96,"tier tier1, priority P2",/research/business-directories/opportunities/
Adobe Commerce Marketplace,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Adpost,Marketplace & Classified Platforms,United States,,READY,Post a classified listing,https://www.adpost.com/post-ad,free,LOW,Unknown,Unknown,verified,,,74,"accepts both sellers, freemium",/research/marketplaces/
Adverts.ie,Marketplace & Classified Platforms,Ireland,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,66,"accepts both sellers, freemium",/research/marketplaces/
Adzuna Australia,Business Directories,Australia,australia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Africa Business Pages,Business Directories,Global,africa,READY,Create a business profile,https://directory.africa-business.com/plans,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Afrindex,Business Directories,Global,africa,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AgFunderNews,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
AgWeb,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Agency Spotter,Business Directories,Global,global; north-america,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Agriculture Dive,"Media, PR & Publishing",United States,national,READY,Submit company news,https://www.agriculturedive.com/submit-tip/,unknown,LOW,Unknown,Unknown,verified,,,86,Media Score 86 (Strong),/research/media-pr-publishing/
Agriland,"Media, PR & Publishing",Ireland,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,47,Media Score 47 (Limited),/research/media-pr-publishing/
Ahmedabad Yellow Pages,Business Directories,India,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
AiHuiShou,Marketplace & Classified Platforms,China,,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts both sellers, free",/research/marketplaces/
Air Cargo News,"Media, PR & Publishing",United Kingdom,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,83,Media Score 83 (Strong),/research/media-pr-publishing/
Airbnb Experiences,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Airtable Marketplace,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Airtasker,Business Directories,Australia,australia; united-kingdom,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Airtasker,Marketplace & Classified Platforms,Australia,,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Aixploria,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Albamon,Marketplace & Classified Platforms,South Korea,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Aleo,Business Directories,Poland,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Alfreð,Marketplace & Classified Platforms,Iceland,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Alibaba.com,Business Directories,Global,asia; global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,100,"tier tier1, priority P1",/research/business-directories/opportunities/
Alignable,Business Directories,United States,united-states,READY,Create a business profile,https://www.alignable.com/biz_users/sign_up,unknown,LOW,Easy,Unknown,verified,,,92,"tier tier1, priority P3",/research/business-directories/opportunities/
Allegro,Business Directories,Poland,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Allegro,Marketplace & Classified Platforms,Poland,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,69,"accepts both sellers, freemium",/research/marketplaces/
Allo-Commercants,Business Directories,France,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Alodokter,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Alonhadat,Marketplace & Classified Platforms,Vietnam,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Alternative.me,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
AlternativeTo,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P2",/research/business-directories/opportunities/
AlternativeTo,"Media, PR & Publishing",Sweden,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,63,Media Score 63 (Moderate),/research/media-pr-publishing/
Amazon Seller Storefront,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
American Banker,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,81,Media Score 81 (Strong),/research/media-pr-publishing/
American City Business Journals,"Media, PR & Publishing",United States,national,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
American Staffing Association,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"tier tier2, priority P3",/research/business-directories/opportunities/
AmericanTowns,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Americanas Marketplace,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Anaconda.org,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Angi,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
