id,name,website,country,marketplace_type,also_covers,seller_types,cost,operator,current_status,note
mp-bd-bikroy,Bikroy,https://www.bikroy.com/,bangladesh,general-classifieds,jobs; property; vehicles,both,freemium,,unknown,Bangladesh's leading classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-bd-bproperty,Bproperty,https://www.bproperty.com/,bangladesh,property,,both,paid,,active,"Bangladesh's main property marketplace, where agents hold public listings."
mp-by-kufar,Kufar,https://www.kufar.by/,belarus,general-classifieds,jobs; property; vehicles,both,freemium,,active,Belarus's leading classifieds marketplace.
mp-by-av,av.by,https://www.av.by/,belarus,vehicles,,both,paid,,unknown,The main Belarusian vehicle marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (http 468); a browser check is needed by a person and the status stays unknown.
mp-be-2dehands,2dehands,https://www.2dehands.be/,belgium,general-classifieds,property; vehicles,both,freemium,Adevinta,active,The main Dutch-language Belgian classifieds marketplace.
mp-be-bizzy-2dehands,Immoweb,https://www.immoweb.be/,belgium,property,,both,paid,,unknown,"The main Belgian property marketplace, where agents hold public listings. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown."
mp-ba-mojposao,MojPosao.ba,https://www.mojposao.ba/,bosnia-and-herzegovina,jobs,,business,paid,,active,"The main Bosnian job marketplace, where employers hold public company pages."
mp-ba-olx,OLX Bosnia,https://www.olx.ba/,bosnia-and-herzegovina,general-classifieds,property; vehicles,both,freemium,OLX Group,unknown,The leading Bosnian classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-br-chavesnamao,Chaves na Mão,https://www.chavesnamao.com.br/,brazil,general-classifieds,property; vehicles,both,freemium,,active,A Brazilian classifieds portal covering property and vehicles.
mp-br-enjoei,Enjoei,https://www.enjoei.com.br/,brazil,second-hand,,both,freemium,,active,A Brazilian resale marketplace where sellers hold public shops.
mp-br-imovelweb,ImovelWeb,https://www.imovelweb.com.br/,brazil,property,,both,paid,,unknown,A Brazilian property marketplace where agents hold public listings. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-br-infojobs,InfoJobs Brasil,https://www.infojobs.com.br/,brazil,jobs,,business,paid,,unknown,A Brazilian job marketplace where employers hold public company pages. [accessibility:2026-08-14] an automated browser check was refused by the site (http 403); a browser check is needed by a person and the status stays unknown.
mp-br-mercadolivre,Mercado Livre Brasil,https://www.mercadolivre.com.br/,brazil,general-classifieds,vehicles,both,freemium,Mercado Libre,active,"The dominant Brazilian marketplace, where sellers hold public storefronts."
mp-br-olx,OLX Brasil,https://www.olx.com.br/,brazil,general-classifieds,property; vehicles,both,freemium,OLX Group,active,"Brazil's largest classifieds marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-br-quintoandar,QuintoAndar,https://www.quintoandar.com.br/,brazil,property,,both,paid,,active,A Brazilian rental and sales property marketplace.
mp-br-vagas,Vagas.com.br,https://www.vagas.com.br/,brazil,jobs,,business,paid,,active,A major Brazilian job marketplace where employers hold public company pages.
mp-br-vivareal,VivaReal,https://www.vivareal.com.br/,brazil,property,,both,paid,,active,"A major Brazilian property marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-br-webmotors,Webmotors,https://www.webmotors.com.br/,brazil,vehicles,,both,paid,,active,"Brazil's main vehicle marketplace, where dealers hold public dealer pages. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-br-zapimoveis,ZAP Imóveis,https://www.zapimoveis.com.br/,brazil,property,,both,paid,,active,"A major Brazilian property marketplace where agents hold public listings. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-br-icarros,iCarros,https://www.icarros.com.br/,brazil,vehicles,,both,paid,,unknown,A major Brazilian vehicle marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (http 403); a browser check is needed by a person and the status stays unknown.
mp-bg-bazar,Bazar.bg,https://www.bazar.bg/,bulgaria,general-classifieds,jobs; property; services; vehicles,both,freemium,,active,"A Bulgarian free classifieds portal covering goods, property, vehicles and jobs."
mp-bg-mobile-bg,Mobile.bg,https://www.mobile.bg/,bulgaria,vehicles,,both,paid,,active,"The main Bulgarian vehicle marketplace, where dealers hold public pages."
mp-bg-olx,OLX Bulgaria,https://www.olx.bg/,bulgaria,general-classifieds,jobs; property; vehicles,both,freemium,OLX Group,active,Bulgaria's leading classifieds marketplace.
mp-kh-bongthom,Bongthom,https://www.bongthom.com/,cambodia,jobs,,business,paid,,active,A Cambodian job marketplace where employers hold public company pages.
mp-kh-khmer24,Khmer24,https://www.khmer24.com/,cambodia,general-classifieds,jobs; property; services; vehicles,both,unknown,,active,Cambodia's leading classifieds marketplace. Cloudflare blocks plain HTTPS requests; the live listings and the publish flow were confirmed in a real browser.
mp-kh-realestate,Realestate.com.kh,https://www.realestate.com.kh/,cambodia,property,,both,unknown,,active,"Cambodia's main property marketplace, where agents and owners publish listings."
mp-ca-autotrader,AutoTrader.ca,https://www.autotrader.ca/,canada,vehicles,,both,paid,,active,"The main Canadian vehicle marketplace, where dealers hold public dealer pages."
mp-ca-bunz,Bunz,https://www.bunz.com/,canada,second-hand,,both,free,,unknown,A Canadian community trading and buy-and-sell marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (http 403); a browser check is needed by a person and the status stays unknown.
mp-ca-kijiji,Kijiji,https://www.kijiji.ca/,canada,general-classifieds,jobs; property; services; vehicles,both,freemium,Adevinta,active,"Canada's dominant classifieds marketplace, with commercial seller accounts."
mp-ca-lespac,LesPAC,https://www.lespac.com/,canada,general-classifieds,vehicles,both,freemium,,unknown,The main Quebec French-language classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (http 403); a browser check is needed by a person and the status stays unknown.
mp-ca-realtor,REALTOR.ca,https://www.realtor.ca/,canada,property,,business,paid,,active,"The main Canadian property marketplace, operated by the national real estate association."
mp-ca-used,Used.ca,https://www.usedvictoria.com/,canada,general-classifieds,vehicles,both,freemium,,active,A regional Canadian classifieds network.
mp-ca-ebay,eBay Canada,https://www.ebay.ca/,canada,auctions,general-classifieds,both,freemium,,active,"The Canadian storefront of the eBay marketplace, where businesses hold public seller shops."
mp-cl-chileautos,Chileautos,https://www.chileautos.cl/,chile,vehicles,,both,paid,,active,"Chile's main vehicle marketplace, where dealers hold public dealer pages."
mp-cl-mercadolibre,Mercado Libre Chile,https://www.mercadolibre.cl/,chile,general-classifieds,vehicles,both,freemium,Mercado Libre,active,"The dominant Chilean marketplace, where sellers hold public storefronts."
mp-cl-portalinmobiliario,Portal Inmobiliario,https://www.portalinmobiliario.com/,chile,property,,both,paid,Mercado Libre,active,"Chile's main property marketplace, now operated within Mercado Libre."
mp-cl-yapo,Yapo.cl,https://www.yapo.cl/,chile,general-classifieds,property; vehicles,both,freemium,,active,Chile's main classifieds marketplace.
mp-cn-1688,1688,https://www.1688.com/,china,b2b,,business,freemium,Alibaba Group,unknown,China's dominant domestic B2B wholesale marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (captcha); a browser check is needed by a person and the status stays unknown.
mp-cn-58,58.com,https://www.58.com/,china,general-classifieds,jobs; property; services; vehicles,both,freemium,58.com Inc,active,"China's dominant classifieds platform, covering jobs, property, vehicles and local services. Ganji was absorbed into it and now resolves to its login."
mp-cn-aihuishou,AiHuiShou,https://www.aihuishou.com/,china,second-hand,,both,free,,active,A Chinese electronics trade-in and resale marketplace.
mp-cn-pinduoduo,Pinduoduo,https://www.pinduoduo.com/,china,general-classifieds,,business,freemium,,active,A major Chinese consumer marketplace where merchants hold public shops.
mp-cn-taobao,Taobao,https://www.taobao.com/,china,general-classifieds,,both,freemium,Alibaba Group,active,"China's largest consumer marketplace, where sellers hold public shops."
mp-cn-goofish,Xianyu,https://www.goofish.com/,china,second-hand,,both,free,Alibaba Group,active,"China's largest second-hand marketplace, where sellers hold public listings."
mp-cn-zhuanzhuan,Zhuanzhuan,https://www.zhuanzhuan.com/,china,second-hand,,both,freemium,,active,A major Chinese second-hand marketplace with authenticated resale.
mp-co-fincaraiz,Fincaraíz,https://www.fincaraiz.com.co/,colombia,property,,both,paid,,active,"Colombia's main property marketplace, where agents hold public listings."
mp-co-mercadolibre,Mercado Libre Colombia,https://www.mercadolibre.com.co/,colombia,general-classifieds,vehicles,both,freemium,Mercado Libre,active,"The dominant Colombian marketplace, where sellers hold public storefronts."
mp-co-metrocuadrado,Metrocuadrado,https://www.metrocuadrado.com/,colombia,property,,both,paid,,active,A major Colombian property marketplace where agents hold public listings.
mp-co-tucarro,TuCarro,https://www.tucarro.com/,colombia,vehicles,,both,paid,Mercado Libre,active,"Colombia's main vehicle marketplace, where dealers hold public pages."
mp-co-elempleo,elempleo,https://www.elempleo.com/,colombia,jobs,,business,paid,,active,A major Colombian job marketplace where employers hold public company pages.
mp-cr-crautos,CRAutos,https://www.crautos.com/,costa-rica,vehicles,,both,unknown,,active,A long-running Costa Rican vehicle marketplace where private sellers and registered dealers publish listings.
mp-cr-encuentra24,Encuentra24 Costa Rica,https://www.encuentra24.com/costa-rica-es/,costa-rica,general-classifieds,jobs; property; vehicles,both,freemium,Encuentra24,active,"The Costa Rica section of the leading Central American classifieds marketplace, carrying property, vehicle, job and general listings."
mp-hr-mojposao,MojPosao,https://mojposao.hr/,croatia,jobs,,business,paid,,active,"The main Croatian job marketplace, where employers hold public company profiles."
mp-hr-njuskalo,Njuskalo,https://www.njuskalo.hr/,croatia,general-classifieds,property; vehicles,both,freemium,,active,Croatia's largest classifieds marketplace.
mp-cu-revolico,Revolico,https://www.revolico.com/,cuba,general-classifieds,property; services; vehicles,both,freemium,,active,Cuba's dominant classifieds marketplace. Cloudflare blocks plain HTTPS requests; the live listings and the publish flow were confirmed in a real browser.
mp-cy-bazaraki,Bazaraki,https://www.bazaraki.com/,cyprus,general-classifieds,property; vehicles,both,freemium,,active,"Cyprus's main classifieds marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-cy-ergodotisi,Ergodotisi,https://ergodotisi.com/,cyprus,jobs,,business,paid,,active,A Cypriot job marketplace where employers publish vacancies under their own company name.
mp-cz-annonce,Annonce.cz,https://www.annonce.cz/,czech-republic,general-classifieds,property; vehicles,both,freemium,,active,A long-running Czech classifieds portal.
mp-cz-aukro,Aukro,https://www.aukro.cz/,czech-republic,auctions,general-classifieds,both,freemium,,active,"The main Czech auction marketplace, where businesses hold seller shops."
mp-cz-bazos,Bazos.cz,https://www.bazos.cz/,czech-republic,general-classifieds,property; vehicles,both,freemium,,active,The dominant Czech free classifieds board.
mp-cz-hyperinzerce,Hyperinzerce,https://www.hyperinzerce.cz/,czech-republic,general-classifieds,property; vehicles,both,free,,active,A Czech free classifieds portal.
mp-cz-sbazar,Sbazar,https://www.sbazar.cz/,czech-republic,general-classifieds,,both,freemium,Seznam.cz,active,A major Czech classifieds marketplace operated by Seznam.
mp-dk-bilbasen,Bilbasen,https://www.bilbasen.dk/,denmark,vehicles,,both,paid,,active,"The main Danish vehicle marketplace, where dealers hold public dealer pages."
mp-dk-boligsiden,Boligsiden,https://www.boligsiden.dk/,denmark,property,,business,paid,,active,"Denmark's main property marketplace, where estate agents hold public listings. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-dk-dba,DBA,https://www.dba.dk/,denmark,general-classifieds,vehicles,both,freemium,,active,A major Danish classifieds marketplace.
mp-dk-jobindex,Jobindex,https://www.jobindex.dk/,denmark,jobs,,business,paid,,active,"Denmark's main job marketplace, where employers hold public workplace pages."
mp-do-lapulga,La Pulga Virtual,https://www.lapulga.com.do/,dominican-republic,general-classifieds,property; vehicles,both,freemium,,active,A Dominican general classifieds marketplace: free listings with paid promotion slots.
mp-do-supercarros,SuperCarros,https://www.supercarros.com/,dominican-republic,vehicles,,both,unknown,,active,"The Dominican Republic's main vehicle marketplace, with a separate dealer product alongside private listings."
mp-cd-jiji,Jiji DR Congo,https://jiji.cd/,dr-congo,general-classifieds,property; vehicles,both,freemium,Jiji Group,unknown,The DR Congo arm of the Jiji classifieds network. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-eg-aqarmap,Aqarmap,https://aqarmap.com.eg/,egypt,property,,both,paid,,active,A major Egyptian property marketplace where agents hold public listings.
mp-eg-dubizzle,Dubizzle Egypt,https://www.dubizzle.com.eg/,egypt,general-classifieds,jobs; property; vehicles,both,freemium,Dubizzle Group,active,"Egypt's dominant classifieds marketplace. OLX Egypt was rebranded into it and olx.com.eg now redirects here. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-eg-hatla2ee,Hatla2ee,https://www.hatla2ee.com/,egypt,vehicles,,both,freemium,,active,"Egypt's main vehicle marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-eg-jumia,Jumia Egypt,https://www.jumia.com.eg/,egypt,general-classifieds,,business,paid,Jumia Group,unknown,The Egyptian storefront of Africa's largest online marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-eg-propertyfinder,Property Finder Egypt,https://www.propertyfinder.eg/,egypt,property,,both,paid,,active,The Egyptian arm of a major Middle East property marketplace.
mp-eg-wuzzuf,Wuzzuf,https://wuzzuf.net/,egypt,jobs,,business,paid,,active,"Egypt's leading job marketplace, where employers hold public company pages."
mp-sv-encuentra24,Encuentra24 El Salvador,https://www.encuentra24.com/el-salvador-es/,el-salvador,general-classifieds,jobs; property; vehicles,both,freemium,Encuentra24,active,"The El Salvador section of the leading Central American classifieds marketplace, carrying property, vehicle, job and general listings."
mp-ee-auto24,Auto24.ee,https://www.auto24.ee/,estonia,vehicles,,both,paid,,active,"The main Estonian vehicle marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-ee-kv,KV.ee,https://www.kv.ee/,estonia,property,,both,paid,,active,"The main Estonian property marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-ee-soov,Soov.ee,https://www.soov.ee/,estonia,general-classifieds,,both,freemium,,active,"An Estonian general classifieds marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-et-engocha,Engocha,https://www.engocha.com/,ethiopia,general-classifieds,property; vehicles,both,freemium,,unknown,An Ethiopian classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-et-ethiojobs,Ethiojobs,https://ethiojobs.net/,ethiopia,jobs,,business,paid,,active,"Ethiopia's leading job marketplace, where employers hold public company pages."
mp-et-jiji,Jiji Ethiopia,https://jiji.com.et/,ethiopia,general-classifieds,property; vehicles,both,freemium,Jiji Group,unknown,Ethiopia's leading classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-fi-huuto,Huuto.net,https://www.huuto.net/,finland,auctions,second-hand,both,unknown,,active,"A long-running Finnish auction and buy-now marketplace where sellers hold public listings. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-fi-nettiauto,Nettiauto,https://www.nettiauto.com/,finland,vehicles,,both,unknown,,active,"Finland's main vehicle marketplace, where dealers hold public dealer pages alongside private listings."
mp-fi-oikotie,Oikotie Asunnot,https://asunnot.oikotie.fi/,finland,property,,both,unknown,,active,"Finland's main property marketplace, where estate agents and private sellers publish listings."
mp-fi-tori,Tori,https://www.tori.fi/,finland,general-classifieds,property; vehicles,both,freemium,,active,Finland's dominant classifieds marketplace.
mp-fr-paruvendu,ParuVendu,https://www.paruvendu.fr/,france,general-classifieds,jobs; property; vehicles,both,freemium,,active,A French classifieds portal for private and professional advertisers.
mp-fr-vinted,Vinted,https://www.vinted.fr/,france,fashion-resale,,private,free,Vinted UAB,active,A pan-European second-hand fashion marketplace. Primarily private sellers.
mp-fr-leboncoin,leboncoin,https://www.leboncoin.fr/,france,general-classifieds,jobs; property; vehicles,both,freemium,Adevinta,active,"France's dominant classifieds marketplace, with professional seller sections."
mp-de-hood,Hood.de,https://www.hood.de/,germany,auctions,general-classifieds,both,freemium,,active,A German auction and fixed-price marketplace where businesses hold seller shops.
mp-de-kleinanzeigen,Kleinanzeigen,https://www.kleinanzeigen.de/,germany,general-classifieds,jobs; property; services; vehicles,both,freemium,Adevinta,active,"Germany's dominant classifieds site, formerly eBay Kleinanzeigen. Business sellers get a commercial seller account."
mp-de-quoka,Quoka,https://www.quoka.de/,germany,general-classifieds,property; vehicles,both,freemium,,active,A long-running German free classifieds portal.
mp-de-kalaydo,kalaydo.de,https://www.kalaydo.de/,germany,jobs,general-classifieds; property; vehicles,both,freemium,,active,A German regional classifieds and job portal run with regional newspapers.
mp-de-markt-de,markt.de,https://www.markt.de/,germany,general-classifieds,jobs; property; services,both,freemium,,active,"A German classifieds portal covering goods, services and jobs."
mp-gh-jiji,Jiji Ghana,https://jiji.com.gh/,ghana,general-classifieds,jobs; property; services; vehicles,both,freemium,Jiji Group,active,The Ghanaian arm of the Jiji classifieds network. Cloudflare blocks plain HTTPS requests; the live listings were confirmed in a real browser.
mp-gh-jobberman,Jobberman Ghana,https://www.jobberman.com.gh/,ghana,jobs,,business,paid,,active,"Ghana's leading job marketplace, where employers hold public company pages. A separate site and account from Jobberman Nigeria."
mp-gh-tonaton,Tonaton,https://tonaton.com/,ghana,general-classifieds,jobs; property; services; vehicles,both,freemium,,active,Ghana's largest general classifieds marketplace. Cloudflare blocks plain HTTPS requests; the live category counts were confirmed in a real browser.
mp-gh-meqasa,meQasa,https://meqasa.com/,ghana,property,,both,paid,,active,"Ghana's main property marketplace, where agents and developers hold public listings."
mp-gr-car-gr,Car.gr,https://www.car.gr/,greece,vehicles,general-classifieds,both,freemium,,active,"The main Greek vehicle marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-gr-xe,XE.gr,https://www.xe.gr/,greece,general-classifieds,jobs; property; vehicles,both,freemium,,unknown,"A leading Greek classifieds portal for property, vehicles and jobs. [accessibility:2026-08-14] an automated browser check was refused by the site (http 405); a browser check is needed by a person and the status stays unknown."
mp-gt-encuentra24,Encuentra24 Guatemala,https://www.encuentra24.com/guatemala-es/,guatemala,general-classifieds,jobs; property; vehicles,both,freemium,Encuentra24,active,"The Guatemala section of the leading Central American classifieds marketplace, carrying property, vehicle, job and general listings."
mp-gt-tecoloco,Tecoloco Guatemala,https://www.tecoloco.com.gt/,guatemala,jobs,,business,paid,Tecoloco,active,A Guatemalan job marketplace where employers hold public company pages.
mp-hn-encuentra24,Encuentra24 Honduras,https://www.encuentra24.com/honduras-es/,honduras,general-classifieds,jobs; property; vehicles,both,freemium,Encuentra24,active,"The Honduras section of the leading Central American classifieds marketplace, carrying property, vehicle, job and general listings."
mp-hn-tecoloco,Tecoloco Honduras,https://www.tecoloco.com.hn/,honduras,jobs,,business,paid,Tecoloco,active,A Honduran job marketplace where employers hold public company pages.
mp-hk-28hse,28Hse,https://www.28hse.com/,hong-kong,property,,both,paid,,active,A major Hong Kong property marketplace where agents hold public listings.
mp-hk-carousell,Carousell Hong Kong,https://www.carousell.com.hk/,hong-kong,general-classifieds,property; vehicles,both,freemium,Carousell Group,unknown,The Hong Kong arm of a Southeast Asian classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-hk-dcfever,DCFever,https://www.dcfever.com/,hong-kong,general-classifieds,,both,freemium,,active,A Hong Kong technology community with an active second-hand trading marketplace.
mp-hk-squarefoot,Squarefoot,https://www.squarefoot.com.hk/,hong-kong,property,,both,paid,,active,A Hong Kong property marketplace where agents hold public listings.
mp-hu-hasznaltauto,Hasznaltauto,https://www.hasznaltauto.hu/,hungary,vehicles,,both,paid,,unknown,"The main Hungarian vehicle marketplace, where dealers hold public pages. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown."
mp-hu-jofogas,Jofogas,https://www.jofogas.hu/,hungary,general-classifieds,property; vehicles,both,freemium,,active,Hungary's leading classifieds marketplace.
mp-hu-vatera,Vatera,https://www.vatera.hu/,hungary,auctions,general-classifieds,both,freemium,,active,A Hungarian auction and marketplace site with seller shops.
mp-is-alfred,Alfreð,https://www.alfred.is/,iceland,jobs,,business,paid,,active,"Iceland's main job marketplace, where employers hold public workplace pages."
mp-is-bland,Bland.is,https://www.bland.is/,iceland,general-classifieds,,both,freemium,,active,Iceland's main classifieds marketplace.
mp-is-bilasolur,Bílasölur,https://bilasolur.is/,iceland,vehicles,,both,unknown,,active,"Iceland's main vehicle marketplace, aggregating the listings of registered dealerships alongside private sellers."
mp-in-99acres,99acres,https://www.99acres.com/,india,property,,both,paid,,unknown,A major Indian property marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (access-denied); a browser check is needed by a person and the status stays unknown.
mp-in-cardekho,CarDekho,https://www.cardekho.com/,india,vehicles,,both,paid,,active,A major Indian vehicle marketplace where dealers hold public pages.
mp-in-cars24,Cars24,https://www.cars24.com/,india,vehicles,,both,freemium,,active,An Indian used-vehicle marketplace.
mp-in-housing,Housing.com,https://www.housing.com/,india,property,,both,paid,,active,"An Indian property marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-in-magicbricks,Magicbricks,https://www.magicbricks.com/,india,property,,both,paid,,active,"A major Indian property marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-in-quikr,Quikr,https://www.quikr.com/,india,general-classifieds,jobs; property; services; vehicles,both,freemium,,active,"A major Indian classifieds platform covering goods, jobs, property and services."
mp-in-spinny,Spinny,https://www.spinny.com/,india,vehicles,,both,freemium,,active,An Indian used-vehicle marketplace.
mp-id-mobil123,Mobil123,https://www.mobil123.com/,indonesia,vehicles,,both,paid,,active,"An Indonesian vehicle marketplace where dealers hold public pages. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-id-rumah123,Rumah123,https://www.rumah123.com/,indonesia,property,,both,paid,,active,A major Indonesian property marketplace where agents hold public listings.
mp-ie-adverts,Adverts.ie,https://www.adverts.ie/,ireland,general-classifieds,,both,freemium,,unknown,An Irish general classifieds marketplace. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.
mp-ie-carzone,Carzone,https://www.carzone.ie/,ireland,vehicles,,both,paid,,unknown,"The main Irish vehicle marketplace, where dealers hold public pages. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown."
mp-ie-daft,Daft.ie,https://www.daft.ie/,ireland,property,,both,paid,,active,"The main Irish property marketplace, where agents hold public listings. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-ie-donedeal,DoneDeal,https://www.donedeal.ie/,ireland,general-classifieds,property; vehicles,both,freemium,,active,"Ireland's largest classifieds marketplace. [accessibility:2026-08-14] the site loads and serves its own content, checked in a browser."
mp-il-ad,ad.co.il,https://www.ad.co.il/,israel,general-classifieds,property; vehicles,both,unknown,,active,"An Israeli classifieds board covering second-hand goods, property for sale and rent, and vehicles, with an open ""add a listing"" flow. Brokerage agencies list alongside private sellers; the cost of publishing is not stated."
